AMC,Fund Name,Morning star rating,Value Research rating,1 month return,NAV,1 Year return,3 Year Return,Minimum investment,Fund Manager,AUM,Category,Risk
mahindra manulife mutual fund,Mahindra Manulife Large & Mid Cap Reg-G,3,3,5.51%,28.32,37.79%,20.29%,Rs.500.0,Abhinav Khandelwal,2569.63 cr,Equity,High 
mahindra manulife mutual fund,Mahindra Manulife Consumption Reg-G,0,3,7.25%,24.89,46.08%,21.93%,Rs.500.0,Abhinav Khandelwal,322.26 cr,Equity,High 
mahindra manulife mutual fund,Mahindra Manulife Mid Cap Reg-G,4,4,5.94%,35.11,54.46%,27.48%,Rs.500.0,Abhinav Khandelwal,3292.76 cr,Equity,High 
mahindra manulife mutual fund,Mahindra Manulife Small Cap Reg-G,0,0,8.37%,21.4,59.79%,0,Rs.500.0,Abhinav Khandelwal,5278.7 cr,Equity,Very High
mahindra manulife mutual fund,Mahindra Manulife Large Cap Reg-G,4,3,4.06%,23.69,32.07%,15.18%,Rs.500.0,Abhinav Khandelwal,577.72 cr,Equity,Very High
tata mutual fund,Tata Infrastructure Reg-G,4,3,2.64%,198.23,54.87%,31.46%,Rs.100.0,Abhinav Sharma,2565.49 cr,Equity,Very High
tata mutual fund,Tata Flexi Cap Reg-G,0,3,6.74%,24.41,34.35%,14.90%,Rs.100.0,Abhinav Sharma,3075.39 cr,Equity,Very High
tata mutual fund,Tata Ethical Reg-G,2,0,4.88%,436.49,34.27%,15.88%,Rs.100.0,Abhinav Sharma,3231.75 cr,Equity,High 
tata mutual fund,Tata Midcap Growth Reg-G,3,3,5.31%,455.92,46.49%,23.52%,Rs.100.0,Abhinav Sharma,4514.03 cr,Equity,High 
samco mutual fund,Samco Dynamic Asset Allocation Reg-G,0,0,4.63%,11.52,0,0,Rs.500.0,Abhiroop Mukherjee,643.73 cr,Hybrid,Very High
kotak mahindra mutual fund,Kotak Nifty SDL Jul 2026 Index Reg-G,0,0,0.63%,11.3,7.90%,0,Rs.100.0,Abhishek Bisen,119.34 cr,Other,Low to Moderate
kotak mahindra mutual fund,Kotak Long Duration Reg-G,0,0,1.56%,10.55,0,0,Rs.100.0,Abhishek Bisen,145.02 cr,Debt,Moderate
kotak mahindra mutual fund,Kotak Multicap Reg-G,0,0,6.60%,19.9,53.14%,0,Rs.100.0,Abhishek Bisen,14541.21 cr,Equity,Very High
kotak mahindra mutual fund,Kotak Multi Asset Allocator FoF - Dynamic Reg,3,0,3.35%,224.09,30.20%,18.70%,Rs.100.0,Abhishek Bisen,1571.97 cr,Other,Very High
kotak mahindra mutual fund,Kotak Nifty G-Sec July 2033 Index Reg-G,0,0,1.06%,10.97,0,0,Rs.100.0,Abhishek Bisen,16.82 cr,Other,Moderate
kotak mahindra mutual fund,Kotak Balanced Advantage Reg-G,3,3,3.65%,20.12,22.08%,11.90%,Rs.100.0,Abhishek Bisen,16988.47 cr,Hybrid,Very High
kotak mahindra mutual fund,Kotak BSE Housing Index Reg-G,0,0,6.62%,14.73,41.24%,0,Rs.100.0,Abhishek Bisen,18.31 cr,Other,Very High
kotak mahindra mutual fund,Kotak Gold Reg-G,0,3,3.84%,28.71,23.17%,14.07%,Rs.100.0,Abhishek Bisen,1977.07 cr,Other,High
kotak mahindra mutual fund,Kotak Bond Reg-G,4,3,1.04%,72.69,8.68%,5.27%,Rs.100.0,Abhishek Bisen,2161.3 cr,Debt,Moderate
kotak mahindra mutual fund,Kotak Nifty AAA Bond Jun 2025 HTM Index Reg-G,0,0,0.54%,10.33,0,0,Rs.100.0,Abhishek Bisen,22.92 cr,Other,Low to Moderate
kotak mahindra mutual fund,Kotak Nifty Financial Services Ex-Bank Index,0,0,12.49%,14.19,35.11%,0,Rs.100.0,Abhishek Bisen,24.46 cr,Other,Very High
kotak mahindra mutual fund,Kotak Manufacture in India Reg-G,0,0,3.74%,19.39,45.43%,0,Rs.100.0,Abhishek Bisen,2520.0 cr,Equity,Very High
kotak mahindra mutual fund,Kotak Debt Hybrid Reg-G,5,4,2.36%,56.8,17.93%,10.64%,Rs.100.0,Abhishek Bisen,2760.72 cr,Hybrid,Moderately High
kotak mahindra mutual fund,Kotak Nifty SDL Apr 2032 Top 12 Equal Weight,0,0,1.02%,11.86,8.82%,0,Rs.100.0,Abhishek Bisen,2863.61 cr,Other,Moderate
kotak mahindra mutual fund,Kotak Silver ETF FoF Reg-G,0,0,5.95%,11.69,18.63%,0,Rs.100.0,Abhishek Bisen,30.61 cr,Other,Very High
kotak mahindra mutual fund,Kotak Nasdaq 100 FOF Reg-G,0,0,4.07%,16.23,26.84%,11.80%,Rs.100.0,Abhishek Bisen,3124.17 cr,Other,Very High
kotak mahindra mutual fund,Kotak Nifty 200 Momentum 30 Index Reg-G,0,0,3.36%,17.2,59.73%,0,Rs.100.0,Abhishek Bisen,339.33 cr,Other,Very High
kotak mahindra mutual fund,Kotak Gilt Investment PF & Trust-G,3,3,1.53%,94.34,9.26%,5.71%,Rs.100.0,Abhishek Bisen,3643.14 cr,Debt,Moderate
